"","short","long","vartest","ttest","stockcode"
"582",3,200,0.553348472701753,0.000593113308823348,"600319.ss"
"583",4,9,0.948307694276571,0.00202395832464837,"600320.ss"
"4748",27,34,0.0610253306831598,6.77357060055777e-05,"600321.ss"
"50839",29,34,2.01261229904048e-12,0.000243180984195554,"600322.ss"
"45765",26,31,0.208198200237501,5.46609255984165e-05,"600323.ss"
"31801",18,23,4.44089209850063e-16,4.42794216072775e-05,"600325.ss"
"3896",22,37,0.0837712989524775,5.31922441777446e-12,"600326.ss"
"4038",22,179,0.000376405748793143,0.00512022881706633,"600327.ss"
"491512",28,33,0.00352402438093158,2.11692083112238e-08,"600328.ss"
"13442",7,200,0.822369619849543,3.18886776273244e-08,"600329.ss"
"5082",28,200,0.0271682969574628,0.00447784789190802,"600330.ss"
"139",1,144,2.65867028827518e-06,5.69067223110913e-08,"600331.ss"
"45766",26,31,0.00915679083864127,0.000716383811759753,"600332.ss"
"541513",30,200,0.65754572446163,4.50897339052228e-05,"600333.ss"
"5306",30,91,3.15357246904542e-07,0.000203138780573121,"600335.ss"
"4408",25,33,0.525912593492717,4.18791090898043e-05,"600336.ss"
"5366",30,151,0.00106453589562634,0.000442538598136132,"600337.ss"
"51",1,10,1.83372597946952e-05,0.00311266506338436,"600338.ss"
"195",1,200,0.0865476954231691,0.000452119935846504,"600339.ss"
"15331",9,14,0.000121103117114595,9.54673479463342e-08,"600340.ss"
"4070",23,38,0.214025104197207,2.24725400557191e-09,"600343.ss"
"3863",21,178,0.0010053399546555,9.26768367335102e-07,"600345.ss"
"4519",25,144,0.264885818240946,5.90729796344753e-08,"600346.ss"
"425",3,43,5.09703846264769e-09,3.56292391187142e-06,"600348.ss"
"47472",27,33,0.010584384279795,2.54688000522306e-06,"600350.ss"
"4404",24,200,0.505609987856818,0.00123913671868387,"600351.ss"
"28211",16,21,2.40867147908392e-12,0.0495837249565285,"600352.ss"
"42336",24,29,0.252167853085354,0.000729051131019765,"600353.ss"
"508310",29,34,9.35406356226132e-05,0.000931973334957595,"600354.ss"
"4195",23,163,0.473970987629359,1.4766093627584e-05,"600355.ss"
"47493",27,35,0.0071820332745017,0.00200957197266736,"600356.ss"
"1465",8,133,0.0147933929665841,0.000149722022955947,"600358.ss"
"47469",27,32,0.00513915500667195,0.00993534397995471,"600359.ss"
"914",5,149,0.0179067660210001,0.17394308402138,"600360.ss"
"2833",16,33,0.845398356458013,0.0496642446966344,"600361.ss"
"53331",30,118,3.74814803623635e-06,0.00438638563230607,"600362.ss"
"2764",15,144,2.76021983538699e-08,1.03506516580105e-07,"600363.ss"
"474610",27,32,0.00137476991744956,0.0830139128131395,"600365.ss"
"4914",27,200,0.436895852009011,0.0022272911235165,"600366.ss"
"508311",29,34,2.73863378283945e-05,0.000194689803592845,"600367.ss"
"47494",27,35,0.0011458460633292,7.77167058879724e-09,"600368.ss"
"978",6,23,1.79047887627348e-11,2.83417133577003e-09,"600369.ss"
"2089",11,199,9.84240236312825e-07,8.83565583885323e-05,"600370.ss"
"47452",26,200,0.000116881354373358,0.00018396680232498,"600371.ss"
"4677",26,132,0.92418615161393,0.0335074216055386,"600372.ss"
"44057",25,30,2.61150968541661e-14,0.000447601924780761,"600373.ss"
"5396",30,181,0.0297075634699509,0.00931191517995755,"600375.ss"
"52822",30,67,0.00231366505310859,0.00181393754462918,"600376.ss"
"101",1,106,0.733616474822268,0.0015409632842871,"600377.ss"
"3546",20,36,0.466141542680878,2.74487769875534e-07,"600378.ss"
"3247",18,90,4.64482167255756e-07,3.3900672250141e-06,"600379.ss"
"132",1,18,0.680893344581636,7.26611853570691e-07,"600380.ss"
"52611",30,46,0.187431172139352,0.0427852473170185,"600381.ss"
"4412",25,37,6.78537226406206e-11,5.63886372739394e-15,"600382.ss"
"3060",17,81,0.717937929734082,1.14752757892292e-08,"600383.ss"
"326",1,6,3.60928786543867e-09,0.000317113798668462,"600385.ss"
"525013",30,35,0.927777343603525,1.36380584769618e-05,"600386.ss"
"22753",13,18,7.09498071929782e-09,8.92197964196523e-05,"600387.ss"
"5254",30,39,1.17823019474272e-06,0.00062975013081723,"600388.ss"
"4406",25,31,0.674505230680046,0.000183948033555685,"600389.ss"
"4409",25,34,0.0260573375111737,2.26920664620821e-07,"600390.ss"
"4241",24,37,0.0742904401976963,0.00647008141607763,"600391.ss"
"4775",27,61,0.000220630592048021,6.76597781469984e-07,"600392.ss"
"17201",10,15,1.46119116806176e-10,0.000136938751496995,"600393.ss"
"541514",30,200,0.426988007225464,6.35790010876016e-05,"600395.ss"
"491513",28,33,0.532336969544092,0.00051103405078026,"600396.ss"
"41341",23,102,0.0226443516662465,0.00110212307214532,"600397.ss"
"5086",29,37,0.31360619777544,6.3289760935849e-06,"600398.ss"
"2280",13,23,3.42785058019994e-40,0.000970017093970915,"600399.ss"
"3909",22,50,0.000600354794521061,0.000950933235861744,"600400.ss"
"5384",30,169,1.49833733335396e-06,0.00433363829889936,"600401.ss"
"40604",23,28,0.0100041597004883,2.14546191715254e-07,"600403.ss"
"44081",25,33,0.0748368254896554,2.52422748488599e-07,"600405.ss"
"47541",27,40,4.91554717241272e-06,4.11877774928765e-08,"600406.ss"
"5255",30,40,2.81073058161496e-08,0.00510476986519181,"600408.ss"
"474611",27,32,9.7086285101966e-05,8.06846681489511e-06,"600409.ss"
"37111",21,26,6.82276821850095e-12,0.0498890986386444,"600410.ss"
"22801",13,23,0.00619961107098255,0.000682684092358659,"600415.ss"
"20915",12,17,2.57754804226009e-07,1.41906001596219e-07,"600416.ss"
"474612",27,32,0.229603397225966,0.000442764701664515,"600418.ss"
"966",6,11,0.0223227084429964,0.00189006241278662,"600419.ss"
"42337",24,29,0.211538445919319,0.0122838203528681,"600420.ss"
"4286",24,82,0.0645335203200001,0.000652819490941141,"600421.ss"
"3892",22,33,5.06221975491228e-22,0.00025921929956852,"600422.ss"
"3",1,8,0.0268191353752696,0.00125980674113545,"600423.ss"
"356",1,6,0.01078371359357,0.00611886673447207,"600425.ss"
"285",2,96,0.054487282304561,0.0562390055271099,"600426.ss"
"1349",8,17,1.40158701074414e-10,2.48549461390016e-06,"600428.ss"
"525014",30,35,0.679964111359145,3.4969615922655e-10,"600429.ss"
"5335",30,120,7.82151317643992e-17,0.0016586142930043,"600432.ss"
"525015",30,35,4.31709680031034e-05,5.29217586691223e-06,"600433.ss"
"4069",23,37,0.189855045027548,1.92056513362685e-06,"600435.ss"
"4407",25,32,8.77580674796263e-10,0.0314611739335483,"600436.ss"
"525016",30,35,2.25064534097037e-08,6.50538744215106e-06,"600438.ss"
"5277",30,62,0.20611509624144,0.00248025441428286,"600439.ss"
"3710",20,200,0.0143362044172719,1.26393753942753e-07,"600444.ss"
"5258",30,43,0.595404782662417,0.000859598980335903,"600446.ss"
"4131",23,99,9.38978635792915e-05,0.0070160709754372,"600448.ss"
"35342",19,200,0.00107912550324007,5.73922016607799e-07,"600449.ss"
"491514",28,33,0.401375989792598,9.82398502336109e-06,"600452.ss"
"28331",16,33,2.62216130186843e-06,0.000264814978013541,"600455.ss"
"1576",9,57,0.172810632684259,1.24930158790876e-10,"600456.ss"
"37101",20,200,0.535327919316401,0.000153931953327303,"600458.ss"
"696",4,122,0.352525655933508,0.000519374851153465,"600459.ss"
"44058",25,30,8.02303458733721e-09,5.24715492243849e-07,"600460.ss"
"52612",30,46,0.72659822272437,7.82952841846598e-05,"600461.ss"
"2640",15,20,7.76736406394469e-19,0.0324560538150426,"600462.ss"
"474613",27,32,4.56760856624668e-06,0.000553662469283407,"600463.ss"
"33582",19,24,0.369947861315899,0.000996924906015085,"600466.ss"
"42338",24,29,0.00516644929220022,4.84213478016106e-09,"600467.ss"
"45767",26,31,0.00425656352586924,4.57291869784194e-05,"600468.ss"
"508312",29,34,4.05269635046501e-05,0.000541200032222604,"600469.ss"
"3179",17,200,0.0209198827992258,5.28402198380969e-08,"600470.ss"
"42339",24,29,0.0141780419622068,6.96166143266375e-07,"600475.ss"
"201",2,12,0.599598599722813,0.00657249724392909,"600476.ss"
"1370",8,38,0.00110845384701577,0.00774809625333868,"600477.ss"
"396",3,14,0.0690412958664321,6.31747899863379e-05,"600478.ss"
"15332",9,14,0.00215583234134153,0.0177953413869365,"600479.ss"
"508313",29,34,0.259913206677554,0.00126551160822639,"600480.ss"
"474614",27,32,1.62914795093902e-07,2.18897124980812e-05,"600481.ss"
"157",1,162,1.09797955252208e-06,1.00132753361122e-06,"600482.ss"
"3885",21,200,3.00320906744135e-06,0.000643062523318003,"600483.ss"
"393",1,6,1.73457047311922e-08,0.00293584315980285,"600485.ss"
"423310",24,29,0.58307378146534,0.00499989447916213,"600486.ss"
"13453",8,13,0.000855780432056141,0.00150905938505853,"600487.ss"
"3720",21,35,0.0631468494985266,0.00250003063814347,"600488.ss"
"3971",1,6,0.495460319247997,7.92640156313664e-05,"600489.ss"
"4893",27,179,0.0294205345016012,0.00064621935872594,"600490.ss"
"491515",28,33,3.28210951305863e-07,0.0172735769785121,"600491.ss"
"3016",17,37,0.00154046883680126,1.0452138468527e-07,"600493.ss"
